iter	RMSE
0	545265.257
1	522550.4981
2	500526.5397
3	479862.9578
4	460351.1524
5	441843.0663
6	424390.2223
7	408229.8654
8	392706.5854
9	377576.7068
10	363749.1274
11	350555.216
12	337804.6114
13	326311.0145
14	315030.9587
15	304684.196
16	295077.5367
17	285672.217
18	278020.0265
19	269778.5907
20	262482.6663
21	255538.4646
22	248782.8857
23	242636.8793
24	236767.3243
25	231328.548
26	226182.7422
27	221209.8956
28	216855.2493
29	212984.0929
30	209219.0862
31	205451.2138
32	202177.5855
33	198951.7167
34	195810.8243
35	193114.0841
36	190598.5714
37	188328.3855
38	186236.6347
39	184271.5894
40	182411.5957
41	180682.6604
42	179192.93
43	177804.8135
44	176350.6377
45	175011.4157
46	173557.3468
47	172432.4027
48	171222.912
49	170224.754
50	169358.8182
51	168466.7123
52	167714.1972
53	167010.5364
54	166427.8584
55	165792.5027
56	165111.1374
57	164516.3761
58	163819.0069
59	163104.8752
60	162612.7181
61	162096.6987
62	161724.2015
63	161174.3045
64	160744.6207
65	160273.2201
66	159703.8511
67	159306.9955
68	158904.5029
69	158507.9301
70	158125.4238
71	157712.6431
72	157369.3556
73	156998.4906
74	156593.385
75	156116.0264
76	155796.7914
77	155309.1498
78	155061.5756
79	154746.7653
80	154488.1331
81	154272.5614
82	153902.6474
83	153728.1644
84	153552.4253
85	153327.1155
86	153060.0496
87	152891.2178
88	152552.1034
89	152346.5007
90	152122.1312
91	151921.4054
92	151679.9713
93	151488.6041
94	151223.1503
95	151042.8195
96	150743.1832
97	150623.5677
98	150312.5773
99	150197.8938
100	149910.0415
101	149610.6264
102	149229.4217
103	148971.0277
104	148805.2259
105	148465.8884
106	148285.8756
107	148143.3264
108	147997.7539
109	147718.9512
110	147472.14
111	147132.4185
112	146895.9219
113	146824.8062
114	146704.7838
115	146356.6569
116	146157.7663
117	146037.5563
118	145761.0302
119	145533.5906
120	145311.8723
121	145094.9804
122	144976.4945
123	144883.9345
124	144739.2831
125	144590.0454
126	144442.2369
127	144357.7018
128	144230.8457
129	143982.8711
130	143634.9107
131	143337.1572
132	143156.5839
133	143059.002
134	142834.8876
135	142679.0854
136	142407.3761
137	142076.4457
138	141766.1126
139	141658.2489
140	141474.4382
141	141415.5731
142	141210.0636
143	141032.7127
144	140922.113
145	140686.7728
146	140549.0211
147	140431.425
148	140385.0671
149	140283.3935
150	140160.0824
151	139989.6317
152	139828.9921
153	139681.8706
154	139491.6298
155	139418.5023
156	139227.0226
157	139119.379
158	138968.4384
159	138835.3419
160	138696.7666
161	138543.5953
162	138331.3064
163	138111.2067
164	137829.4748
165	137627.7685
166	137295.1725
167	137187.4797
168	137047.8185
169	136934.2374
170	136665.1627
171	136556.2212
172	136366.1139
173	136258.0781
174	136176.5971
175	136134.732
176	135980.454
177	135788.5618
178	135614.8519
179	135447.2852
180	135329.5612
181	135232.11
182	135179.2068
183	135069.4805
184	134919.9382
185	134795.3866
186	134583.1079
187	134243.5477
188	134133.4378
189	133827.7292
190	133715.468
191	133519.6892
192	133422.4454
193	133343.6055
194	133176.0182
195	133083.0213
196	132990.0894
197	132869.3204
198	132739.1897
199	132498.1868
200	132404.6237
201	132247.8704
202	132109.9277
203	132016.2848
204	131932.3931
205	131797.5912
206	131682.4416
207	131592.5595
208	131528.0401
209	131421.8772
210	131267.8601
211	131034.0607
212	130846.599
213	130764.1526
214	130659.3645
215	130566.3499
216	130473.3916
217	130382.6965
218	130331.2317
219	130218.449
220	130138.6818
221	130061.7185
222	129919.9736
223	129837.2314
224	129719.2886
225	129631.9229
226	129527.5254
227	129455.9538
228	129358.0061
229	129285.3334
230	129107.8163
231	129031.0115
232	128942.9594
233	128797.3408
234	128711.3371
235	128616.4544
236	128398.6465
237	128254.8063
238	128124.789
239	128031.1704
240	127963.9316
241	127885.1886
242	127731.5446
243	127650.3719
244	127576.7002
245	127471.3563
246	127379.3534
247	127292.0534
248	127225.9041
249	127085.8776
250	126995.8426
251	126842.992
252	126678.268
253	126536.5045
254	126405.8489
255	126292.9863
256	126197.4174
257	126098.772
258	126008.0572
259	125939.1942
260	125858.8208
261	125732.2962
262	125658.2227
263	125590.2185
264	125426.8142
265	125300.2367
266	125229.2367
267	125166.8646
268	125067.5261
269	124961.8613
270	124900.4408
271	124789.5747
272	124667.2901
273	124561.9297
274	124489.4363
275	124433.4872
276	124272.4263
277	124197.5042
278	124053.5173
279	123974.6112
280	123809.5509
281	123720.577
282	123630.8392
283	123566.2824
284	123490.5075
285	123416.7909
286	123304.4553
287	123177.3133
288	123116.8545
289	122996.3633
290	122941.8038
291	122795.8694
292	122729.551
293	122614.8351
294	122549.5709
295	122492.1765
296	122404.4599
297	122308.571
298	122261.6365
299	122200.1045
300	122139.2877
301	122033.9666
302	121967.0511
303	121854.6312
304	121785.5656
305	121697.7819
306	121638.053
307	121502.1178
308	121255.0374
309	121199.6303
310	121147.2903
311	121049.0394
312	120854.3175
313	120781.6715
314	120725.5784
315	120575.2367
316	120501.2134
317	120450.4989
318	120393.7675
319	120314.0815
320	120263.3942
321	120172.094
322	120076.417
323	120009.8501
324	119954.5014
325	119902.6845
326	119777.2193
327	119724.7378
328	119664.6165
329	119572.8908
330	119496.9743
331	119433.18
332	119365.1571
333	119289.8971
334	119167.816
335	119079.5901
336	119006.7175
337	118939.0508
338	118872.577
339	118827.35
340	118777.4512
341	118721.9543
342	118637.4288
343	118407.8105
344	118349.3497
345	118300.6874
