iter	Passed	Remaining
0	6	6585
1	12	6402
2	16	5530
3	18	4629
4	22	4394
5	34	5679
6	122	17310
7	128	15889
8	135	14944
9	142	14109
10	242	21768
11	249	20545
12	255	19380
13	262	18497
14	268	17615
15	273	16834
16	280	16191
17	283	15444
18	285	14750
19	288	14132
20	293	13671
21	303	13508
22	371	15762
23	430	17505
24	438	17097
25	445	16670
26	450	16220
27	456	15846
28	461	15455
29	467	15114
30	471	14748
31	1190	35998
32	1279	37500
33	1289	36639
34	1293	35675
35	1298	34781
36	1301	33884
37	1308	33115
38	1329	32753
39	1355	32542
40	1516	35473
41	1540	35130
42	2121	47216
43	2139	46479
44	2174	46142
45	2193	45496
46	2211	44847
47	2679	53146
48	2694	52296
49	2816	53515
50	2848	52995
51	2854	52034
52	2860	51115
53	2863	50172
54	2866	49253
55	2869	48372
56	2872	47518
57	2878	46752
58	2932	46774
59	2974	46607
60	2994	46098
61	3000	45394
62	3014	44830
63	3024	44230
64	3028	43568
65	3032	42917
66	3038	42306
67	3041	41687
68	3044	41084
69	3048	40496
70	3055	39977
71	3071	39589
72	3254	41327
73	3303	41342
74	3312	40860
75	3323	40402
76	3329	39910
77	3339	39468
78	3345	39002
79	3351	38539
80	3361	38134
81	3443	38546
82	3456	38189
83	3470	37849
84	3482	37482
85	3490	37093
86	3500	36734
87	3507	36349
88	3521	36044
89	3650	36909
90	3657	36532
91	3663	36158
92	3670	35801
93	3686	35528
94	3705	35297
95	3732	35149
96	3754	34954
97	3776	34762
98	3783	34434
99	3787	34083
100	3789	33732
101	3803	33486
102	3821	33280
103	3870	33345
104	3896	33215
105	3903	32922
106	3920	32723
107	3930	32461
108	3933	32152
109	3936	31846
110	3938	31546
111	3952	31340
112	3996	31369
113	4032	31343
114	4050	31170
115	4065	30979
116	4071	30727
117	4078	30484
118	4083	30231
119	4168	30572
120	4176	30340
121	4187	30134
122	4192	29889
123	4197	29650
124	4200	29401
125	4205	29170
126	4252	29230
127	4293	29248
128	4303	29055
129	4306	28819
130	4309	28585
131	4315	28379
132	4318	28153
133	4323	27943
134	4351	27881
135	4367	27744
136	4390	27657
137	4442	27747
138	4576	28347
139	4583	28154
140	4588	27953
141	4591	27742
142	4593	27531
143	4596	27323
144	4599	27119
145	4602	26919
146	4606	26728
